Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.778449800 | Error: Could not roll back JPA transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.818437200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.819436800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.821435500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.822434900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.824433800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.825432800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.826432300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.827433300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.829431200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.830429300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.833428200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.834428500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.835427700 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.836426200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.841184600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.842187900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.843183100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.844182 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.846181100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.847180400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.860684300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.863682 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.866681100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.868677800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.870677600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.872676800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.873676900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.879672 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.882670900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.883670300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.884670 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.887667100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.889666200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.891665600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.893663200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.895662 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.896661600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.897662200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.898660600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.900658400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.901658 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.903658900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.904657100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.904657100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.905657800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.906655800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.907654600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.909653200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.910652200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.911652 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.912650800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.912650800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.913651100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.914649300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.915648900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.916648400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.918648300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.919646500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.920645800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.921646100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.922646700 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.922646700 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.924644400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.925645100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.926642800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.927641700 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.928644400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.929642500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.930640500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.931639500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.931639500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.932639200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.933638900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.935636200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.936636600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.937636200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.941632900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.943632300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.944631600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.945630500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.946630600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.946630600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.948631600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.950628100 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.951627200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.079187100 | Error: Could not roll back JPA transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.082185100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.086183800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.091182100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.093178500 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.095178100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.097176800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.098174900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.100174900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.101173300 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.103172100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.104173100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.106171100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.107169600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.110167400 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.111166700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.112166200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.113165400 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.114164600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.115164100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.116164200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.117163500 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.118509700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.119496200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.120495 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.121494800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.123492800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.124493200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.125491900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.126491600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.127490400 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.128490400 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.130489200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.131489 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.132487700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.133486600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.135485600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.136485100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.137484500 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.138483500 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.140483 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.141482800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.142481300 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.143480600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.144480100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.145479300 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.146479200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.147478 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.149477 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.150477300 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.151475700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.152474700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.152474700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.153474100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.154474900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.155473700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.156472600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.157471600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.158470800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.158470800 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.160469900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.161469300 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.162468700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.163469 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.164467 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.165466900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.166466100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.166466100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.167465500 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.168465600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.169464900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.170463900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.171463600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.172463600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.173461700 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.174461600 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.175460500 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.176460200 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.177459400 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.178459 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.179457900 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.180457400 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.181457100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.181457100 | Error: Could not open JPA EntityManager for transaction
Task ID: 864d2cbc-0db3-497f-9f3d-05b919cfc14f | Time: 2023-12-24T02:23:22.182456600 | Error: Could not open JPA EntityManager for transaction
